miRNA	log2FoldChange	padj
dre-miR-724	-0.621625815	0.389498561
dre-miR-725-3p	0.546672727	0.519588615
dre-miR-727-3p	-1.137558572	0.140231292
dre-miR-729	0.571401317	0.557044286
dre-miR-34c-5p	1.290945436	0.130836309
dre-miR-34c-3p	1.442559261	0.026651409
dre-miR-730	-0.874424492	0.368172438
dre-miR-731	0.872858026	0.063090094
dre-miR-15c	0.873601632	0.061487998
dre-miR-734	0.076062762	0.915829911
dre-miR-735-5p	0.953126889	0.259347593
dre-miR-735-3p	0.410870161	0.752331819
dre-miR-737-5p	-1.073665089	0.069396149
dre-miR-2184	-0.633142995	0.130250404
dre-miR-2185-5p	-0.433099596	0.796884102
dre-miR-429b	0.299506786	0.601432624
dre-miR-1388-5p	-0.26348393	0.359109165
dre-miR-1388-3p	0.392655878	0.263637804
dre-miR-2187-5p	-1.057869233	0.359109165
dre-miR-2187-3p	-0.134509878	0.910861847
dre-miR-196c	2.238531673	0.042086758
dre-miR-107b	-0.680604581	0.429060528
dre-miR-455-2-5p	-0.08895284	0.854881168
dre-miR-222b	0.441749456	0.290589672
dre-miR-126b-5p	-0.602111469	0.177306031
dre-miR-126b-3p	-0.448219429	0.211720404
dre-miR-2188-5p	-0.015021337	0.971355439
dre-miR-2189	-1.112482435	0.338594849
dre-miR-196d	2.314580565	0.007482137
dre-miR-7145	-0.44425337	0.605840537
dre-miR-7146-5p	-0.52480005	0.338594849
dre-miR-7146-3p	1.351045347	0.063116695
dre-miR-7147	0.285290281	0.691037816
dre-miR-1306	2.737816989	0.050085433
dre-miR-129-3-3p	-1.347187305	0.274356613
dre-miR-181a-3-3p	-0.904397711	0.313267213
dre-miR-181a-5-3p	0.313909257	0.631174714
dre-miR-23b-5p	0.987325308	0.195042867
dre-miR-23b-3p	0.006024495	0.971355439
dre-miR-24b-3p	0.19447554	0.433663884
dre-miR-7133-3p	-0.734363291	0.042597457
dre-miR-29b3-3p	-0.860625424	0.107712461
dre-miR-338-3p	-1.177380396	0.049663899
