"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gypsy12-LTR_DR:Gypsy:LTR",12.9814196082577,0.0909305005203581,0.559253543179573,0.162592623022794,0.870839195675532,0.96125170790847
"Gypsy120-I_DR:Gypsy:LTR",66.2892215435199,0.20613062116974,0.297659363355283,0.692505079787143,0.488620196935737,0.721194875826547
"Gypsy120-LTR_DR:Gypsy:LTR",436.445519612877,0.563941065426323,0.33801636225349,1.66838392575624,0.0952395371320985,0.326822713112243
"Gypsy121-I_DR:Gypsy:LTR",110.764621369008,0.145141164205619,0.271554106346109,0.534483407960805,0.593007125843652,0.805834660697679
"Gypsy121-LTR_DR:Gypsy:LTR",9.95321080810956,0.234875411000004,0.452772518159255,0.518749264983858,0.603935601988404,0.815433688969696
"Gypsy122-I_DR:Gypsy:LTR",30.2308298289519,-0.956599851322753,0.494522944460539,-1.93438921699838,0.053065291235981,0.256318689709756
"Gypsy122-LTR_DR:Gypsy:LTR",6.66031877179967,0.0571140112662998,0.513406940097644,0.111245109494308,0.911421981397446,0.968821366506884
"Gypsy123-LTR_DR:Gypsy:LTR",10.1602909178238,0.116292209801324,0.466605933878691,0.249230027648036,0.8031828534074,0.929566955790894
"Gypsy124-I_DR:Gypsy:LTR",43.6722983530656,-0.513363184936899,0.494231445780607,-1.03871008071143,0.298939591427367,0.563220774319369
"Gypsy124-LTR_DR:Gypsy:LTR",17.868831823244,-0.937723289007412,0.488667694966745,-1.91893857250217,0.0549921083128891,0.256967731932118
"Gypsy127-I_DR:Gypsy:LTR",22.1159642578114,-0.579543535000075,0.497354114709374,-1.16525332325586,0.243916466990153,0.511477117908704
"Gypsy127-LTR_DR:Gypsy:LTR",24.5761231035443,-1.2459407649368,0.363143804530866,-3.43098450088222,0.000601394960763198,0.0368940255327715
"Gypsy128-I_DR:Gypsy:LTR",39.9841084862145,-0.141623773018073,0.275622574836538,-0.513832269007955,0.607369264916687,0.817208400621574
"Gypsy128-LTR_DR:Gypsy:LTR",11.9138180943835,0.055034085804177,0.298849592668979,0.18415312302311,0.853893332881971,0.955419583962273
"Gypsy13-I_DR:Gypsy:LTR",66.24854835644,0.28648079429398,0.362105811615041,0.791152158028717,0.428855205609464,0.678407454739463
"Gypsy13-LTR_DR:Gypsy:LTR",19.8990180882388,0.759629228645425,0.384987901594093,1.97312493587482,0.0484813299316458,0.24703552035522
"Gypsy132-I_DR:Gypsy:LTR",45.1905607592051,0.444493258459024,0.404658670127239,1.09843997243222,0.272012415956369,0.540824685842663
"Gypsy132-LTR_DR:Gypsy:LTR",12.6903174023981,0.489282361611313,0.612896482969167,0.798311583125739,0.424689697882039,0.674757649024955
"Gypsy133-I_DR:Gypsy:LTR",39.5886426279858,0.291376253578898,0.586596348021692,0.49672360655086,0.619383973079585,0.824063999085364
"Gypsy133-LTR_DR:Gypsy:LTR",36.1349629882926,-0.662541476678959,0.231158330188837,-2.86618040603476,0.00415457413383718,0.0739076872229983
"Gypsy134-I_DR:Gypsy:LTR",10.8279643142291,-0.295867616301566,0.639567039246663,-0.462606104045112,0.643646732541417,0.84213907973806
