miRNA	log2FoldChange	padj
dre-mir-430a-4	0.16720467	0.7507835
dre-mir-430a-5	0.074598	0.86069967
dre-mir-430a-6	0.074598	0.86069967
dre-mir-430a-7	0.074598	0.86069967
dre-mir-430a-8	0.074598	0.86069967
dre-mir-430a-9	0.074598	0.86069967
dre-mir-430a-10	0.074598	0.86069967
dre-mir-430a-11	0.239285672	0.650450823
dre-mir-430a-12	0.16720467	0.7507835
dre-mir-430a-13	0.16720467	0.7507835
dre-mir-430a-14	0.16720467	0.7507835
dre-mir-430a-15	0.16720467	0.7507835
dre-mir-430a-16	0.205037228	0.708728153
dre-mir-430a-17	0.205037228	0.708728153
dre-mir-430a-18	0.25629241	0.647539285
dre-mir-430i-1	-0.154687064	0.859342503
dre-mir-430i-2	-0.154687064	0.859342503
dre-mir-430i-3	-0.154687064	0.859342503
dre-mir-430b-2	-0.712632594	0.094558762
dre-mir-430b-3	-0.712632594	0.094558762
dre-mir-430b-4	-0.904776223	0.044624792
dre-mir-430b-6	-0.692074741	0.094558762
dre-mir-430b-7	-0.692074741	0.094558762
dre-mir-430b-8	-0.692074741	0.094558762
dre-mir-430b-9	-0.756958831	0.080444264
dre-mir-430b-10	-0.701732183	0.094558762
dre-mir-430b-11	-0.701732183	0.094558762
dre-mir-430b-12	-0.701732183	0.094558762
dre-mir-430b-13	-0.701732183	0.094558762
dre-mir-430b-14	-0.701732183	0.094558762
dre-mir-430b-15	-0.701732183	0.094558762
dre-mir-430b-16	-0.701732183	0.094558762
dre-mir-430b-17	-0.701732183	0.094558762
dre-mir-430b-18	-0.745828883	0.085242344
dre-mir-430b-5	-0.701732183	0.094558762
dre-mir-430b-19	-0.745828883	0.085242344
dre-mir-430b-20	-0.756958831	0.080444264
dre-mir-456	0.077243054	0.87396359
dre-mir-457a	0.110348918	0.86069967
dre-mir-457b	-0.364672473	0.662628851
dre-mir-458	0.293368379	0.633047658
dre-mir-459	-0.181153896	0.884909809
dre-mir-460	-0.24067212	0.870498877
dre-mir-461	-1.193234511	0.119426412
dre-mir-184-2	0.748482639	0.636281408
dre-mir-489	-0.744474393	0.235588967
dre-let-7j	0.827933104	0.094558762
dre-mir-135b	0.450172941	0.830363897
dre-mir-181a-2	0.905450343	0.242848569
dre-mir-34b	1.376390117	0.094783746
dre-mir-31	0.656637986	0.221808256
dre-mir-135a	-0.456047777	0.80292877
dre-mir-139	-0.490212072	0.384789825
dre-mir-722	-1.815704586	0.063263862
dre-mir-499	-0.955906114	0.662628851
dre-mir-723	-2.232182848	0.282116469
dre-mir-724	-0.178437615	0.859342503
dre-mir-725	0.520044564	0.68123975
dre-mir-727	0.272815022	0.859342503
dre-mir-34c	1.061351525	0.187374303
dre-mir-730	-0.091783521	0.915285461
dre-mir-731	1.014577338	0.044624792
dre-mir-732	-1.163386009	0.632262819
dre-mir-733	-0.616663899	0.27935853
dre-mir-15c	0.991012015	0.044624792
dre-mir-734	-0.119785052	0.884909809
dre-mir-735	0.116390084	0.895224793
dre-mir-737	-0.882357116	0.149018162
dre-mir-738	-1.95339598	0.241649074
dre-mir-740	-0.376092714	0.637855002
dre-mir-2184	-1.060915316	0.056020665
dre-mir-2185-1	-0.237883075	0.744168201
dre-mir-429b	-1.63385008	0.29502642
dre-mir-1388	0.276555141	0.637855002
dre-mir-1788	-0.519890214	0.813062871
dre-mir-2187	-0.684805739	0.422871241
dre-mir-196c	0.920731828	0.490297354
dre-mir-2191	-1.900138337	0.217410457
dre-mir-107b	-1.608004246	0.413018386
dre-mir-455-2	0.262548239	0.738812831
dre-mir-222b	0.460851279	0.626342345
dre-mir-2196	-1.802066973	0.324295661
dre-mir-126b	-0.358378209	0.413018386
dre-mir-2186	-0.909766292	0.044624792
dre-mir-2188	-0.357795323	0.570106752
dre-mir-2189	-1.103170515	0.137939302
dre-mir-2192	-1.596679658	0.324295661
dre-mir-196d	1.907563656	0.044624792
dre-mir-2193	-0.210250075	0.80292877
dre-mir-2195	-1.579463074	0.011154532
dre-mir-2185-2	-0.237883075	0.744168201
dre-mir-2185-3	-0.237883075	0.744168201
dre-mir-7145	-0.99774178	0.217410457
dre-mir-7146	0.562326095	0.178229144
dre-mir-7147	-1.331185078	0.242848569
dre-mir-7148	0.176611985	0.894808946
dre-mir-1306	1.877397981	0.277701374
dre-mir-129-3	-1.492113953	0.191836895
dre-mir-138-2	-0.159461347	0.884909809
dre-mir-181a-4	0.889305229	0.245406583
dre-mir-181a-3	0.888478788	0.245406583
dre-mir-181a-5	0.877080451	0.242848569
dre-mir-181b-3	0.389735283	0.656640636
dre-mir-204-3	-0.146832769	0.822088295
dre-mir-23b-2	0.365169332	0.242848569
dre-mir-24b	0.588762104	0.279659257
dre-mir-7133	0.276923521	0.86069967
dre-mir-29b3	0.455313053	0.423574585
dre-mir-7132	-2.130266683	0.241649074
dre-mir-338-3	-1.066639695	0.242848569
