piRNA	log2FoldChange	padj
piR-dre-25729	1.520646732	0.174858077
piR-dre-46327	-1.215075509	0.174858077
piR-dre-12151	-2.174388663	0.175857275
piR-dre-130677	1.735928345	0.177381112
piR-dre-27180	1.948043057	0.177468164
piR-dre-1371	-1.943493958	0.177468164
piR-dre-752362	-1.999453337	0.177468164
piR-dre-8949	-1.141484024	0.177468164
piR-dre-1207541	-2.380269646	0.177896316
piR-dre-11266	-1.893442563	0.177896316
piR-dre-206401	-2.876322309	0.177896316
piR-dre-186870	-2.876322309	0.177896316
piR-dre-16173	-1.148930091	0.177896316
piR-dre-9631	-1.142341801	0.177896316
piR-dre-1027563	-3.875228215	0.177896316
piR-dre-37645	5.047382053	0.179271961
piR-dre-284137	1.783038277	0.179271961
piR-dre-30980	1.11415076	0.179271961
piR-dre-389641	1.793872623	0.179271961
piR-dre-1091552	-2.120525346	0.179271961
piR-dre-2433	1.798039041	0.179271961
piR-dre-2434	1.798039041	0.179271961
piR-dre-22913	-1.159010322	0.179271961
piR-dre-50406	-3.831066049	0.17935627
piR-dre-4980	-2.173286708	0.181738827
piR-dre-63784	-1.896507165	0.181738827
piR-dre-34811	-1.17067807	0.185190467
piR-dre-4274	4.400594088	0.185190467
piR-dre-20630	1.455528393	0.185190467
piR-dre-20860	-1.877067576	0.185190467
piR-dre-1529	-1.17067807	0.185190467
piR-dre-9857	-1.511230617	0.185190467
piR-dre-61831	-1.895237384	0.185190467
piR-dre-521723	-2.47014436	0.185190467
piR-dre-441122	2.256027822	0.185449944
piR-dre-4548	1.984775538	0.187979818
piR-dre-6531	-1.661534647	0.187979818
piR-dre-562250	4.186548712	0.187979818
piR-dre-7634	1.772688067	0.188437569
piR-dre-62246	-1.247081574	0.189190223
piR-dre-56216	1.579961767	0.189190223
piR-dre-38513	-1.648969372	0.189753208
piR-dre-38137	1.892079867	0.19026211
piR-dre-38136	1.894728744	0.19026211
piR-dre-28040	2.708705878	0.19026211
piR-dre-2927	-1.363905751	0.19026211
piR-dre-25879	2.141102632	0.19026211
piR-dre-43283	-1.476047676	0.19026211
piR-dre-42044	2.148175398	0.19026211
piR-dre-11758	-1.102942574	0.19026211
piR-dre-16870	-1.025180011	0.19026211
piR-dre-71162	2.715592882	0.19026211
piR-dre-521696	2.241265077	0.19026211
piR-dre-517472	-2.906997171	0.19026211
piR-dre-1093041	-3.420414702	0.191035359
piR-dre-44409	-1.164418103	0.193818593
piR-dre-2435	1.802666609	0.193818593
piR-dre-68384	1.502341546	0.193818593
piR-dre-84994	2.191546331	0.193818593
piR-dre-50362	-1.65627923	0.193818593
piR-dre-133112	-1.915503269	0.193818593
piR-dre-82580	-2.473037643	0.193818593
piR-dre-45431	2.245033877	0.197276577
piR-dre-46228	1.80658967	0.197276577
piR-dre-37322	1.435941918	0.197564463
piR-dre-28680	2.703838378	0.197564463
piR-dre-11520	-1.486380997	0.197564463
piR-dre-40758	-1.532902966	0.197564463
piR-dre-17879	2.419416454	0.199379183
piR-dre-62060	2.17451768	0.199379183
piR-dre-58378	1.761333776	0.201277103
piR-dre-346927	2.100895358	0.202474822
piR-dre-2926	-1.370591148	0.202835632
piR-dre-599938	-1.556926239	0.202835632
piR-dre-55844	-2.185873002	0.202835632
piR-dre-27609	-2.297895582	0.202835632
piR-dre-38172	1.970615462	0.203000161
piR-dre-66025	-1.399818436	0.203000161
piR-dre-60544	-1.259546834	0.203000161
piR-dre-34466	-3.55111345	0.203429722
piR-dre-133102	2.214593841	0.203539329
piR-dre-1289	-1.052892801	0.203966356
piR-dre-57279	-2.135394731	0.204789428
piR-dre-37762	-1.596634646	0.205040854
piR-dre-12267	-1.614552552	0.205147173
